epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,133.377,1.84217,3.28884,2.33378,1.91836,0.35025,0.26196,0.24404,0.07964,0.01848,0.00249,0.00028,0.00013,2.1877,2.83086,2.36078,2.47615,0.00131218,0.00131218,0.00131218
88,134.865,1.76579,3.32999,2.21645,1.86983,0.26906,0.25025,0.20744,0.08299,0.0003,0.00498,0.00016,5e-05,2.25092,2.87836,2.54278,2.54081,0.00130805,0.00130805,0.00130805
89,136.458,1.86394,3.32,2.30666,1.94035,0.32398,0.34615,0.25112,0.09478,0.02639,0.00249,0.0004,9e-05,2.30174,2.86939,2.33303,2.53018,0.00130393,0.00130393,0.00130393
90,137.968,1.7326,3.24211,2.23448,1.83683,0.35524,0.24684,0.2159,0.08269,0.02476,0.00498,0.00041,6e-05,2.26443,2.85099,2.49278,2.48547,0.0012998,0.0012998,0.0012998
91,139.461,1.70775,3.29203,2.28871,1.81253,0.32062,0.33582,0.2322,0.09885,0.01933,0.00498,0.00075,8e-05,2.15364,2.87614,2.35299,2.43304,0.00129568,0.00129568,0.00129568
92,140.965,1.75365,3.12105,2.19169,1.83537,0.16888,0.20896,0.15098,0.06937,0,0,0,0,2.21562,2.8842,3.03601,2.52499,0.00129155,0.00129155,0.00129155
93,142.435,1.74012,3.35432,2.23808,1.85896,0.21873,0.19403,0.21541,0.09057,0.00018,0.00249,0.0001,1e-05,2.19306,2.89863,2.83062,2.45406,0.00128742,0.00128742,0.00128742
94,143.936,1.81255,3.29961,2.28409,1.9144,0.34084,0.25283,0.24616,0.10893,0.00028,0.00746,0.00014,2e-05,2.13957,2.86804,2.47947,2.40012,0.0012833,0.0012833,0.0012833
95,145.449,1.68909,3.25798,2.12275,1.79795,0.3289,0.25071,0.24379,0.09774,0.00238,0.00498,0.00018,4e-05,2.13872,2.81071,2.43126,2.40337,0.00127917,0.00127917,0.00127917
96,146.945,1.69864,3.2834,2.21514,1.82032,0.3406,0.26502,0.22458,0.09289,0.00244,0.00249,6e-05,3e-05,2.19243,2.8104,2.37274,2.44648,0.00127505,0.00127505,0.00127505
97,148.456,1.68319,3.24824,2.15327,1.82421,0.34544,0.24627,0.24863,0.10464,0.0003,0.00498,0.0001,2e-05,2.11177,2.78534,2.30835,2.40052,0.00127092,0.00127092,0.00127092
